id|movie_id|imdb_id|title|description|genres|lda_vector|sim_list
7212|9989|0218817|Antitrust|A computer programmer's dream job at a hot Portland-based firm turns nightmarish when he discovers his boss has a secret and ruthless means of dispatching anti-trust problems.|[28, 80, 18]||
4304|9988|0486551|Beerfest|During a trip to Germany to scatter their grandfather's ashes, German-American brothers Todd and Jan discover Beerfest, the secret Olympics of downing stout, and want to enter the contest to defend their family's beer-guzzling honor. Their Old Country cousins sneer at the Yanks' chances, prompting the siblings to return to America to prepare for a showdown the following year.|[35]||
83|99861|2395427|Avengers: Age of Ultron|When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.|[28, 12, 878]||
4739|9986|0413895|Charlotte's Web|Wilbur the pig is scared of the end of the season, because he knows that come that time, he will end up on the dinner table. He hatches a plan with Charlotte, a spider that lives in his pen, to ensure that this will never happen.|[35, 10751, 14]||
1078|9982|0371606|Chicken Little|When the sky really is falling and sanity has flown the coop, who will rise to save the day? Together with his hysterical band of misfit friends, Chicken Little must hatch a plan to save the planet from alien invasion and prove that the world's biggest hero is a little chicken.|[16, 35, 10751]||
7557|9981|0384642|Kicking & Screaming|Phil Weston has been unathletic his entire life. In college he failed at every sport that he tried out for. It looks like his 10-year old son, Sam, is following in his footsteps. But with becoming the coach of The Soccers, an already successful soccer team, everything changes.|[35, 10751]||
5094|9980|0091499|Maximum Overdrive|When a comet passes close to the earth, machines all over the world come alive and go on homicidal rampages. A group of people at a desolate truck stop are held hostage by a gang of homicidal 18-wheelers. The frightened people set out to defeat the killer machines ... or be killed by them.|[28, 18, 27, 878]||
8482|9978|0457495|Stormbreaker|Alex Rider thinks he is a normal school boy, until his uncle is killed. He discovers that his uncle was actually spy on a mission, when he was killed. Alex is recruited by Alan Blunt to continue the mission. He is sent to Cornwall to investigate a new computer system, which Darrius Sayle has created. He plans to give the new computer systems to every school in the country, but Mr. Blunt has other ideas and Alex must find out what it is.|[28, 12, 10751]||
2515|9948|0465997|The Fox and the Hound 2|Best friends Tod, a fox kit, and Copper, a hound puppy, visit a country fair when they see a band of dogs called "The Singin' Strays". The band has five members: Dixie, Cash, Granny Rose, and twin brothers Waylon and Floyd. It is important that they perform well because a talent scout is visiting.|[12, 16, 35, 10751]||
1714|9928|0358082|Robots|Rodney Copperbottom is a young robot inventor who dreams of making the world a better place, until the evil Ratchet takes over Big Weld Industries. Now, Rodney's dreams – and those of his friends – are in danger of becoming obsolete.|[16, 35, 878, 10751]||
4171|9918|0385726|Glory Road|In 1966, Texas Western coach Don Haskins led the first all-black starting line-up for a college basketball team to the NCAA national championship.|[18]||
7062|9899|0395251|The Producers|After putting together another Broadway flop, down-on-his-luck producer Max Bialystock teams up with timid accountant Leo Bloom in a get-rich-quick scheme to put on the world's worst show.|[35]||
2471|9896|0250687|Rat Race|In an ensemble film about easy money, greed, manipulation and bad driving, a Las Vegas casino tycoon entertains his wealthiest high rollers -- a group that will bet on anything -- by pitting six ordinary people against each other in a wild dash for $2 million jammed into a locker hundreds of miles away. The tycoon and his wealthy friends monitor each racer's every move to keep track of their favorites. The only rule in this race is that there are no rules.|[12, 35]||
3333|9894|0115798|The Cable Guy|When recently single Steven moves into his new apartment, cable guy Chip comes to hook him up—and doesn't let go. Initially, Chip is just overzealous in his desire to be Steven's pal, but when Steven tries to end the 'friendship', Chip shows his dark side. He begins stalking Steven, who's left to fend for himself because no one else can believe Chip's capable of such behaviour.|[35, 18, 53]||
4407|9893|0368975|Sleepover|As their first year of high school looms ahead, best friends Julie, Hannah, Yancy and Farrah have one last summer sleepover. Little do they know they're about to embark on the adventure of a lifetime. Desperate to shed their nerdy status, they take part in a night-long scavenger hunt that pits them against their popular archrivals. Everything under the sun goes on -- from taking Yancy's father's car to sneaking into nightclubs!|[35, 10751]||
3765|9890|0327162|The Stepford Wives|What does it take to become a Stepford wife, a woman perfect beyond belief? Ask the Stepford husbands, who've created this high-tech, terrifying little town.|[35, 878]||
2573|9889|0256380|Shallow Hal|A shallow man falls in love with a 300 pound woman because of her "inner beauty".|[35, 10749]||
1832|9886|0113481|Johnny Mnemonic|In a dystopian 2021, Johnny is a data trafficker who has an implant that allows him to securely store data too sensitive for regular computer networks. On one delivery run, he accepts a package that not only exceeds the implant's safety limits—and will kill him if the data is not removed in time—but also contains information far more important and valuable than he had ever imagined. On a race against time, he must avoid the assassins sent to kill him and remove the data before it, too, ends his life.|[12, 28, 18, 878, 53]||
1756|9885|0416315|Wolf Creek|Stranded backpackers in remote Australia fall prey to a murderous bushman, who offers to fix their car, then takes them captive.|[27, 53]||
2348|9884|0233469|Collateral Damage|Firefighter Gordon Brewer is plunged into the complex and dangerous world of international terrorism after he loses his wife and child in a bombing credited to Claudio 'The Wolf' Perrini.|[28, 53, 18]||
1917|9882|0133952|The Siege|The secret US abduction of a suspected terrorist from his Middle East homeland leads to a wave of terrorist attacks in New York.  An FBI senior agent and his team attempt to locate and decommission the enemy cells, but must also deal with an Army General gone rogue and a female CIA agent of uncertain loyalties.|[28, 80, 18, 53]||
213|9880|0247638|The Princess Diaries|A socially awkward but very bright 15-year-old girl being raised by a single mom discovers that she is the princess of a small European country because of the recent death of her long-absent father, who, unknown to her, was the crown prince of Genovia. She must make a choice between continuing the life of a San Francisco teen or stepping up to the throne.|[35, 10751, 10749]||
6890|988|0078966|The China Syndrome|While doing a series of reports on alternative energy sources, opportunistic reporter Kimberly Wells witnesses an accident at a nuclear power plant. Wells is determined to publicize the incident, but soon finds herself entangled in a sinister conspiracy to keep the full impact of the incident a secret.|[53, 18]||
2558|9879|0117765|Striptease|Bounced from her job, Erin Grant needs money if she's to have any chance of winning back custody of her child. But, eventually, she must confront the naked truth: to take on the system, she'll have to take it all off. Erin strips to conquer, but she faces unintended circumstances when a hound dog of a Congressman zeroes in on her and sharpens the shady tools at his fingertips, including blackmail and murder.|[18, 53, 80]||
4876|9877|0146336|Urban Legend|There's a campus killer on the loose who's making urban legends, like the one about eating pop rocks and soda at the same time will make your stomach explode and the one about a psycho with an axe stepping into the backseat of your car at the gas station when not looking, into reality.|[27, 53]||
2698|9876|0105477|Stop! Or My Mom Will Shoot|A tough cop's (Sylvester Stallone) seemingly frail mother (Estelle Getty) comes to stay with him and progressively interferes in his life. She buys him an illegal MAC-10 machine pistol and starts poking around in his police cases. Eventually, the film draws to a denouement involving the title of the film and the revelation that even though she seems frail and weak she is capable of strong actions in some circumstances, i.e. when her son is threatened by thugs and she shoots herself in the shoulder.|[28, 35]||
1420|9874|0090859|Cobra|A tough-on-crime street cop must protect the only surviving witness to a strange murderous cult with far reaching plans.|[28, 80, 53]||
7884|9873|0089118|F/X|A movies special effects man is hired by a government agency to help stage the assassination of a well known gangster. When the agency double cross him, he uses his special effects to trap the gangster and the corrupt agents.|[28, 80, 53]||
7352|9871|0210070|Ginger Snaps|The story of two outcast sisters, Ginger (Katharine Isabelle) and Brigitte (Emily Perkins), in the mindless suburban town of Bailey Downs. On the night of Ginger's first period, she is savagely attacked by a wild creature. Ginger's wounds miraculously heal but something is not quite right. Now Brigitte must save her sister and save herself.|[18, 27]||
911|9870|0800039|Forgetting Sarah Marshall|When Sarah Marshall dumps aspiring musician Peter Bretter for rock star Aldous Snow, Peter's world comes crashing down. His best friend suggests that Peter should get away from everything and to fly off to Hawaii to escape all his problems. After arriving in Hawaii and meeting the beautiful Rachel Jansen, Peter is shocked to see not only Aldous Snow in Hawaii, but also Sarah Marshall.|[35, 10749, 18]||
8834|987|0071524|The Front Page|A journalist suffering from burn-out wants to finally say goodbye to his office – but his boss doesn’t like the idea one bit.|[10749, 18, 35]||
1880|9869|0105112|Patriot Games|When CIA Analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets Jack and his family as revenge.|[18, 28, 53, 80]||
7899|98613|0473474|Doraemon: Nobita and the Windmasters|One day, Nobita runs into a creature-like ball of wind, which came from a faraway land, but blew into their neighbourhood following the recent typhoon that went through the area. Nobita names it Fuuko. Eventually, he, Doraemon and their friends take it to a vast countryside through the Anywhere Door. There, they learn about the Wind and Storm Villages, and Fuuko’s real identity. Soon, Nobita and his friends have to protect Fuuko from the Storm Village and a now-possessed Nobuo, who is being controlled by the spirit of the Storm Village’s former leader.|[16]||
9371|98568|1631707|Enter Nowhere|Three strangers arrive one by one to a mysterious cabin in the middle of nowhere after enduring separate life-altering predicaments. Searching for a way out of the woods, frustrated, hungry and battling to stay warm they discover their mysterious connection and realize what they have to do in order to get out of the woods alive.|[9648, 878, 53]||
2941|98567|1424310|Chinese Zodiac|Asian Hawk (Jackie Chan) leads a mercenary team to recover several lost artifacts from the Old Summer Palace, the bronze heads of the 12 Chinese Zodiac animals which were sacked by the French and British armies from the imperial Summer Palace in Beijing in 1860. Assisted by a Chinese student & a Parisian lady, Hawk stops at nothing to accomplish the mission.|[28, 12]||
214|98566|1291150|Teenage Mutant Ninja Turtles|The city needs heroes. Darkness has settled over New York City as Shredder and his evil Foot Clan have an iron grip on everything from the police to the politicians. The future is grim until four unlikely outcast brothers rise from the sewers and discover their destiny as Teenage Mutant Ninja Turtles. The Turtles must work with fearless reporter April and her wise-cracking cameraman Vern Fenwick to save the city and unravel Shredder's diabolical plan.|[878, 28, 12, 14, 35]||
8119|98548|1716777|People Like Us|It tells the story of a struggling man who, after flying home to L.A. for the funeral of his estranged record-producer father, discovers that the will stipulates that he must deliver $150,000 in cash to a 30-year-old alcoholic sister he never knew existed, and her troubled 12-year-old son.|[18]||
2672|985|0074486|Eraserhead|Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child.|[14, 27]||
8085|9849|0120764|My Favorite Martian|News producer, Tim O'Hara gets himself fired for unwillingly compromising his bosses' daughter during a live transmission. A little later, he witnesses the crashing of a small Martian spacecraft, realizing his one-time chance of delivering a story that will rock the earth. Since Tim took the original but scaled-down spaceship with him, the Martian follows him to retrieve it.|[35, 18, 10751, 878]||
4290|9846|0090180|To Live and Die in L.A.|A fearless Secret Service agent will stop at nothing to bring down the counterfeiter who killed his partner.|[80, 53, 28]||
6700|9845|0119879|Dance with the Devil|A psychotic criminal couple kidnaps a random teenage couple. The woman rapes the male captive, and lets him watch his lover being raped by the man. They then plan to sacrifice the couple|[28, 53]||
6499|9844|0120777|The Opposite of Sex|A 16-year-old girl visits her gay half-brother and ends up seducing his boyfriend, thus wreaking havoc on all of their lives.|[35, 18]||
8009|9843|0488085|Big Nothing|A frustrated, unemployed teacher joins forces with a scammer and his girlfriend in a blackmailing scheme.|[28, 35, 80, 53]||
7319|9842|0462519|School for Scoundrels|A young guy short on luck, enrolls in a class to build confidence to help win over the girl of his dreams, which becomes complicated when his teacher has the same agenda.|[35, 18, 10749]||
1361|984|0066999|Dirty Harry|When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.|[28, 80, 53]||
8702|9839|0294357|Beyond Borders|Beyond Borders is an epic tale of the turbulent romance between two star-crossed lovers set against the backdrop of the world's most dangerous hot spots. Academy Award winner Angelina Jolie stars as Sarah Jordan, an American living in London in 1984. She is married to Henry Bauford son of a wealthy British industrialist, when she encounters Nick Callahan a renegade doctor, whose impassioned plea for help to support his relief efforts in war-torn Africa moves her deeply. As a result, Sarah embarks upon a journey of discovery that leads to danger, heartbreak and romance in the far corners of the world.|[18, 10749, 12, 10752]||
844|9837|0120794|The Prince of Egypt|This is the extraordinary tale of two brothers named Moses and Ramses, one born of royal blood, and one an orphan with a secret past. Growing up the best of friends, they share a strong bond of free-spirited youth and good-natured rivalry. But the truth will ultimately set them at odds, as one becomes the ruler of the most powerful empire on earth, and the other the chosen leader of his people! Their final confrontation will forever change their lives and the world.|[12, 16, 18, 10751, 10402, 35]||
1533|9836|0366548|Happy Feet|Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!|[16, 35, 10751]||
659|98357||Broken City|In a broken city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful figure, the mayor. Billy's relentless pursuit of justice, matched only by his streetwise toughness, makes him an unstoppable force - and the mayor's worst nightmare.|[80, 18, 53]||
7936|9835|0120741|Jane Austen's Mafia!|Takeoff on the Godfather with the son of a mafia king taking over for his dying father.|[35, 80]||
7041|98339|1867093|The Samaritan|After twenty years in prison, Foley is finished with the grifter's life. When he meets an elusive young woman named Iris, the possibility of a new start looks real. But his past is proving to be a stubborn companion.|[53]||
3440|9833|0293508|The Phantom of the Opera|Deformed since birth, a bitter man known only as the Phantom lives in the sewers underneath the Paris Opera House. He falls in love with the obscure chorus singer Christine, and privately tutors her while terrorizing the rest of the opera house and demanding Christine be given lead roles. Things get worse when Christine meets back up with her childhood acquaintance Raoul and the two fall in love|[53, 18, 10749]||
8818|983|0073341|The Man Who Would Be King|A robust adventure about two British adventurers who take over primitive Kafiristan as "godlike" rulers, meeting a tragic end through their desire for a native girl. Based on a short story by Rudyard Kipling.|[12, 18]||
5405|9829|0475276|United 93|A real time account of the events on United Flight 93, one of the planes hijacked on 9/11 that crashed near Shanksville, Pennsylvania when passengers foiled the terrorist plot.|[18, 36, 80, 53, 28]||
5490|9828|0450340|Unknown|Five men wake up in a locked-down warehouse with no memory of who they are. They are forced to figure out who is good and who is bad to stay alive.|[53]||
6504|9827|0119891|Phantoms|In the peaceful town of Snowfield, Colorado something evil has wiped out the community. And now, its up to a group of people to stop it, or at least get out of Snowfield alive.|[27, 878]||
3235|9825|0139414|Lake Placid|When a man is eaten alive by an unknown creature, the local Game Warden teams up with a paleontologist from New York to find the beast. Add to the mix an eccentric philanthropist with a penchant for "Crocs", and here we go! This quiet, remote lake is suddenly the focus of an intense search for a crocodile with a taste for live animals...and people!|[27, 35, 28, 878, 53]||
5911|9824|0132347|Mystery Men|When Champion City's hero Captain Amazing is kidnapped by the recently paroled supervillain Casanova Frankenstein, a trio of average, everyday superheroes -- Mr. Furious, the Shoveler and the Blue Raja -- assemble a new super team to save him.|[28, 12, 35, 14, 878]||
4705|9823|0119707|Mortal Kombat: Annihilation|A group of heroic warriors has only six days to save the planet in "Mortal Kombat Annihilation." To succeed they must survive the most spectacular series of challenges any human, or god, has ever encountered as they battle an evil warlord bent on taking control of Earth. Sequel to the film "Mortal Kombat," and based on the popular video game.|[28, 14, 878]||
3415|9822|0120751|Mighty Joe Young|As a child living in Africa, Jill Young saw her mother killed while protecting wild gorillas from poachers led by Andrei Strasser. Now an adult, Jill cares for an orphaned gorilla named Joe -- who, due to a genetic anomaly, is 15 feet tall. When Gregg O'Hara arrives from California and sees the animal, he convinces Jill that Joe would be safest at his wildlife refuge. But Strasser follows them to the U.S., intent on capturing Joe for himself.|[28, 12, 10751, 14]||
636|9820|0120783|The Parent Trap|Hallie Parker and Annie James are identical twins separated at a young age because of their parents' divorce. unknowingly to their parents, the girls are sent to the same summer camp where they meet, discover the truth about themselves, and then plot with each other to switch places. Hallie meets her mother, and Annie meets her father for the first time in years.|[35, 10751]||
6058|9819|0116999|Marvin's Room|A leukemia patient attempts to end a 20-year feud with her sister to get her bone marrow.|[18]||
7600|9817|0486656|Save the Last Dance 2|Sara joins Julliard in New York to fulfill her and her mother's dream of becoming the Prima ballerina of the school. She befriends her roommates, Zoe and Miles, who teach hip-hop classes. She has ballet classes with the rigid and famous Monique Delacroix that she idolizes - Monique requires full commitment, discipline and hard work from her students. When Miles, who is a composer, invites Sara to help him compose the music for the dance choreography Sara's passion for hip-hop is sparked and she also falls in love with Miles. When she is assigned to perform Giselle in an important event, she feels divided between the technique of the ballet and the creative work offered by Miles.|[18, 10751, 10749]||
9759|9816|0206275|Save the Last Dance|A white midwestern girl moves to Chicago, where her new boyfriend is a black teen from the South Side with a rough, semi-criminal past.|[18, 10751, 10749, 10402]||
9155|9815|0473360|Goal! II: Living the Dream|Tempted away from Newcastle United to join Real Madrid, rising star Santiago Munez finds this latest change of fortune the greatest challenge yet - personally as well as professionally. He is reunited with Gavin Harris, though they must compete to be on the team, and estranged from fiancee Roz, whose nursing career keeps her back home.|[18]||
3663|9813|0414951|The Quiet|After her widowed father dies, deaf teenager Dot moves in with her godparents, Olivia and Paul Deer. The Deers' daughter, Nina, is openly hostile to Dot, but that does not prevent her from telling her secrets to her silent stepsister, including the fact that she wants to kill her lecherous father.|[18, 53]||
6892|9812|0124901|Thursday|Casey has given up drug dealing for a suburban idyll in Houston, a job as an architect and a new wife. They are even planning to adopt a child. But Casey's past arrives on the doorstep in the shape of Nick, an old business partner. And all hell breaks loose!|[18, 28, 80, 53]||
8087|9809|0454987|Let's Go to Prison|When a career criminal's plan for revenge is thwarted by unlikely circumstances, he puts his intended victim's son in his place by putting him in prison...and then joining him.|[35, 80]||
9107|9807|0090601|Aladdin|Updating of the old "Aladdin" Arabian Nights tale, as a teenager in modern-day Miami finds a magic lantern and out pops a genie, who's been asleep for 200 years and in his gratitude grants the boy several wishes.|[28, 12, 35, 14]||
8264|98066|0835418|The Babymakers|After he flunks a fertility test, a man realizes that the only way he can get his wife pregnant is by robbing a sperm bank to take back the last of the deposits he made there years earlier.|[35]||
143|9806|0317705|The Incredibles|Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume.|[28, 12, 16, 10751]||
6101|9805|0349047|Dreamship Surprise - Period 1|Hundreds of years after humans have settled on Mars, Regulator Rogul and Lord Jens Maul, lead a force of Martians to Earth in order to conquer the planet. Queen Metaphor looks to the gay heroes aboard the spaceship Surprise -- Captain Kork, Mr. Spuck, and first engineer Schrotty|[35, 878]||
